headline,link,date,author,description,tags
New hands-on classes for learning free software,https://www.ire.org/new-hands-on-classes-for-learning-free-software/,"February 3, 2010",hdcoadmin,"With tight newsroom budgets, open-source software comes at the right price: free. This year’s Computer-Assisted Reporting conference March 11-14 in Phoenix offers several new hands-on classes: CrimeStat. Analyze crime incident […]",CAR Conference
2009 Philip Meyer Journalism Award winners announced,https://www.ire.org/2009-philip-meyer-journalism-award-winners-announced/,"February 2, 2010",hdcoadmin,Three major investigative reports that used social science research methods as key parts of their probes were named today as winners of the 2009 Philip Meyer Journalism Award. USA Today […],IRE News
"Using Facebook, Twitter in Haiti",https://www.ire.org/using-facebook-twitter-in-haiti/,"February 1, 2010",hdcoadmin,By Doug Haddix IRE Training Director Manny Garcia of The Miami Herald explains how his newsroom is using Twitter and Facebook to cover the earthquake in Haiti and its aftermath. […],"Ethnic Media Workshop, tips, tips_1, video"
"Twitter, Facebook help Haiti coverage",https://www.ire.org/twitter-facebook-help-haiti-coverage/,"February 1, 2010",hdcoadmin,"In a video interview with IRE, Manny Garcia of The Miami Herald explains how Twitter and Facebook are helping his newspaper's ongoing coverage of the earthquake in Haiti. His advice applies to […]","Ethnic Media Watchdog Workshops, IRE News, Training, training_1, video"
Stimulus webinar available for download,https://www.ire.org/stimulus-webinar-available-for-download/,"January 27, 2010",hdcoadmin,"Earlier this month, Sarah Cohen of Duke University and Jennifer LaFleur of ProPublica helped uncover some of the mysteries of stimulus reporting in a one-hour IRE webinar. A recording of […]","raining, training_1"
Investigating nonprofits in wake of the crisis in Haiti,https://www.ire.org/investigating-nonprofits-in-wake-of-the-crisis-in-haiti/,"January 22, 2010",hdcoadmin,The crisis in Haiti has sparked an outpouring of concern and aid pouring in from around the world. With this goodwill comes an opportunity for charities to shine and journalists […],"Resource Center, Tools and Sources"
Misuse of funds compromised tribal welfare program,https://www.ire.org/misuse-of-funds-compromised-tribal-welfare-program/,"January 21, 2010",hdcoadmin,"An investigation by The Desert Sun (Palm Springs, Calif.) uncovered problems with the taxpayer-funded Torres-Martinez tribal welfare program.""Beneath the surface of rampant poverty and joblessness on one of California's poorest […]",
The CAR Conference hotel deadline is quickly approaching.,https://www.ire.org/the-car-conference-hotel-deadline-is-quickly-approaching/,"January 20, 2010",hdcoadmin,"The 2010 Computer-Assisted Reporting (CAR) Conference is quickly approaching.  Make your plans and register TODAY! Last year, participants were scrambling to find a hotel room after the room block had […]",IRE News
Head of D.C. Metro system resigned,https://www.ire.org/head-of-d-c-metro-system-resigned/,"January 19, 2010",hdcoadmin,"On January 14, the general manager of Washington D.C.’s Metro system announced he is resigning, bringing to five the number of top executives who are leaving or have been reassigned […]",
"Friday, January 15 is postmark deadline for 2009 IRE Awards",https://www.ire.org/friday-january-15-is-postmark-deadline-for-2009-ire-awards/,"January 14, 2010",hdcoadmin,"The deadline for submitting entries for the IRE Awards is this Friday, January 15. All entries must be postmarked by midnight on Friday. As you review work from 2009, don’t […]",IRE Awards
IRE offers webinar on stimulus,https://www.ire.org/ire-offers-webinar-on-stimulus/,"December 18, 2009",hdcoadmin,Join Sarah Cohen of Duke University and Jennifer LaFleur of ProPublica in a one-hour webinar that will help you understand how to follow stimulus dollars from Congress to your town […],"environment, Training, training_1"
Video shows training results in Minnesota,https://www.ire.org/video-shows-training-results-in-minnesota/,"December 17, 2009",hdcoadmin,"In a short video, Minnesota journalists describe what they learned during three days of custom IRE training in December. Topics include Twitter, searching the ""Deep Web"" and using IRS 990 […]","custom training, Training, training_1, video"
What journalists learned in Minnesota,https://www.ire.org/what-journalists-learned-in-minnesota/,"December 17, 2009",hdcoadmin,"By Doug Haddix IRE training director   Nearly 60 reporters, editors and publishers from small newspapers in southern Minnesota took part in three days of IRE custom training in December. […]","custom training, custom-training_1, video"
Regulation lax on Illinois legislative scholarships,https://www.ire.org/regulation-lax-on-illinois-legislative-scholarships/,"December 9, 2009",hdcoadmin,"A three-day series by students from Columbia College Chicago, in collaboration with Illinois Statehouse News, examines Illinois' century-old legislative scholarship program. The program doled out $12.5 million during the 2007-2008 […]",
CAR training bolsters mineral rights investigation,https://www.ire.org/car-training-bolsters-mineral-rights-investigation/,"December 8, 2009",hdcoadmin,"By Daniel Gilbert Bristol (Va.) Herald Courier On Sunday, our newspaper launched an eight-day investigative series on mineral rights that draws extensively on techniques I learned at IRE's August boot […]","Boot, Camp"
Build CAR and Mapping skills at boot camps in Missouri,https://www.ire.org/build-car-and-mapping-skills-at-boot-camps-in-missouri/,"December 7, 2009",hdcoadmin,Tired of feeling frustrated by spreadsheets or intimidated by databases? Or maybe you’ve mastered basic computer-assisted reporting skills and are ready to dive into mapping. Intensive IRE boot camps can […],"Boot Camp, IRE News, Training, training_1"
Probation system profits on the poor at unfair price,https://www.ire.org/probation-system-profits-on-the-poor-at-unfair-price/,"November 17, 2009",hdcoadmin,"A report by Sandy Hodson of The Augusta Chronicle shows that private probation companies profit while unfairly punishing those who cannot pay their court debts. ""Someone who can afford to […]",
Watchdog Wisdom at Duke University,https://www.ire.org/watchdog-wisdom-at-duke-university/,"November 16, 2009",hdcoadmin,"By Jaimi Dowdell IRE Training Director Just as schools run students through drills for tornadoes and fires, journalists need to do drills to be prepared. One way to incorporate quick-hit, […]","watchdog-1, Workshop"
Membership drive winners announced,https://www.ire.org/membership-drive-winners-announced/,"November 16, 2009",hdcoadmin,"We'd like to thank everyone who helped make IRE's membership drive a success and announce the winners in the drawing. More than 440 people joined IRE, renewed expired memberships or […]","IRE News, Member News"
Remembering Armando Rodriguez,https://www.ire.org/remembering-armando-rodriguez/,"November 13, 2009",hdcoadmin,"Today is the anniversary of the murder of El Diario de Juarez’ top crime reporter Armando ""Choco"" Rodriguez. At noon, his fellow journalists in Ciudad Juarez, who have attempted to […]",IRE News
Breaking News category added to IRE Awards,https://www.ire.org/breaking-news-category-added-to-ire-awards/,"November 12, 2009",hdcoadmin,"Great investigative work is often done in the days, or even hours, following a breaking news event. The IRE Awards have often honored such work, and now we are pleased […]","IRE Awards, IRE News"
Resource Highlights: Covering the Military,https://www.ire.org/resource-highlights-covering-the-military/,"November 5, 2009",hdcoadmin,IRE has compiled some resources that may assist in covering the fatal shootings that occured today at Ft. Hood in Texas.  If you have other resources that could be of […],"breaking news, IRE News, Resource Center, Tools and Sources"
Fresh tip sheets in the Resource Center,https://www.ire.org/fresh-tip-sheets-in-the-resource-center/,"October 21, 2009",hdcoadmin,"Several new tip sheets are available in the Resource Center from recent Ethnic Media Watchdog Workshops. Topics include tracking federal stimulus money, analyzing Census data, obtaining public records and honing […]","Ethnic Media Watchdog Workshops, IRE News, Tools and Sources"
Tipsheets from workshop now online,https://www.ire.org/tipsheets-from-workshop-now-online/,"October 21, 2009",hdcoadmin,"By Mark Horvit IRE Executive Director IRE’s Ethnic Media Watchdog Workshop series stopped in Washington, D.C., on Oct. 17-18. Journalists from media throughout the area gathered at American University’s School […]","Ethnic, Media, Workshop"
Hit the streets for better coverage,https://www.ire.org/hit-the-streets-for-better-coverage/,"October 19, 2009",hdcoadmin,"New York Times reporter David Gonzalez shares his secrets to great neighborhood beat reporting. For better stories and better sourcing, your time is best spent walking the streets of your […]","udio, Watchdog Workshop"
